cid,time,cellId,cellLac,cellPos,s2CellId,s2CellLac,syncId,latLng
328,2019-01-31T20:37:03+05:30,20859895,21801,-1,20859895,21801,3281548947220466,12.9601951:77.6440303
475,2019-02-05T20:18:09+05:30,20991675,3320,-1,20991675,3320,4751549378085006,12.9601015:77.6441675
475,2019-02-05T20:19:15+05:30,20991675,3320,-1,20991675,3320,4751549378153732,12.9602136:77.6440203
475,2019-02-05T20:21:11+05:30,20991675,3320,-1,20991675,3320,4751549378270653,12.9600754:77.6441332
566,2019-02-09T18:33:20+05:30,886038,16,-1,886038,16,5661549717380604,12.954954954954955:77.63369793257235
566,2019-02-09T18:43:56+05:30,886034,16,-1,886034,16,5661549718019526,12.954954954954955:77.63369793257235
566,2019-02-09T19:26:34+05:30,886034,16,-1,886034,16,5661549720572051,12.954954954954955:77.63369793257235
566,2019-02-11T11:23:38+05:30,886034,16,-1,886034,16,5661549864395822,12.954954954954955:77.63369793257235
566,2019-02-11T11:27:12+05:30,886037,16,-1,886037,16,5661549864603906,12.954954954954955:77.63369793257235
566,2019-02-11T11:46:25+05:30,886034,16,-1,886034,16,5661549865739783,12.954954954954955:77.63369793257235
566,2019-02-11T19:50:46+05:30,886034,16,-1,886034,16,5661549894821640,12.954954954954955:77.63369793257235
566,2019-02-12T11:46:15+05:30,886034,16,-1,886034,16,5661549952152342,12.954954954954955:77.63369793257235
566,2019-02-12T12:46:53+05:30,886034,16,-1,886034,16,5661549955789244,12.954954954954955:77.63369793257235
566,2019-02-12T13:03:50+05:30,886034,16,-1,886034,16,5661549956808568,12.954954954954955:77.63369793257235
566,2019-02-12T13:11:21+05:30,886034,16,-1,886034,16,5661549957259532,12.954954954954955:77.63369793257235
566,2019-02-12T17:22:06+05:30,886034,16,-1,886034,16,5661549972303113,12.954954954954955:77.63369793257235
566,2019-02-12T17:29:57+05:30,886037,16,-1,886037,16,5661549972761491,12.954954954954955:77.63369793257235
566,2019-02-12T17:42:35+05:30,886037,16,-1,886037,16,5661549973528949,12.954954954954955:77.63369793257235
566,2019-02-12T18:12:52+05:30,886037,16,-1,886037,16,5661549975343731,12.954954954954955:77.63369793257235
566,2019-02-12T18:25:06+05:30,886034,16,-1,886034,16,5661549976080411,12.954954954954955:77.63369793257235
566,2019-02-12T19:00:26+05:30,886034,16,-1,886034,16,5661549978203141,12.954954954954955:77.63369793257235
566,2019-02-12T19:07:31+05:30,886037,16,-1,886037,16,5661549978632569,12.954954954954955:77.63369793257235
566,2019-02-12T19:18:12+05:30,886034,16,-1,886034,16,5661549979260058,12.954954954954955:77.63369793257235
566,2019-02-12T19:28:31+05:30,886037,16,-1,886037,16,5661549979884007,12.954954954954955:77.63369793257235
566,2019-02-12T19:30:00+05:30,886034,16,-1,886034,16,5661549979976957,12.954954954954955:77.63369793257235
566,2019-02-12T19:45:14+05:30,886034,16,-1,886034,16,5661549980893815,12.954954954954955:77.63369793257235
566,2019-02-12T20:07:40+05:30,886034,16,-1,886034,16,5661549982241457,12.954954954954955:77.63369793257235
566,2019-02-13T13:02:01+05:30,886037,16,-1,886037,16,5661550043088417,12.954954954954955:77.63369793257235
566,2019-02-13T14:48:07+05:30,886034,16,-1,886034,16,5661550049461342,12.954954954954955:77.63369793257235
