cid,time,carrier_name,data,roam,sim_mcc,sim_mnc,syncId,mcc,mnc,operator,s2Roam,sim2_mcc,sim2_mnc,carrier2_name
328,2019-01-31T20:37:00+05:30,,,,,,3281548947220466,,,,,,,
99,2019-01-17T20:17:16+05:30,airtel,0,0,405,54,991547736436273,404,45,airtel,0,405,54,IND airtel — airtel
475,2019-02-05T20:18:05+05:30,,,,,,4751549378085006,,,,,,,
475,2019-02-05T20:19:14+05:30,,,,,,4751549378153732,,,,,,,
475,2019-02-05T20:21:10+05:30,,,,,,4751549378270653,,,,,,,
566,2019-02-09T18:33:00+05:30,Jio 4G,1,0,405,861,5661549717380604,405,861,Jio 4G,0,404,45,airtel
566,2019-02-09T18:43:39+05:30,Jio 4G,1,0,405,861,5661549718019526,405,861,Jio 4G,0,404,45,airtel
566,2019-02-09T19:26:12+05:30,Jio 4G,1,0,405,861,5661549720572051,405,861,Jio 4G,0,404,45,airtel
566,2019-02-11T11:23:15+05:30,Jio 4G,1,0,405,861,5661549864395822,405,861,Jio 4G,0,404,45,airtel
566,2019-02-11T11:26:44+05:30,Jio 4G,1,0,405,861,5661549864603906,405,861,Jio 4G,0,404,45,airtel
566,2019-02-11T11:45:39+05:30,Jio 4G,1,0,405,861,5661549865739783,405,861,Jio 4G,0,404,45,airtel
566,2019-02-11T19:50:21+05:30,Jio 4G,1,0,405,861,5661549894821640,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T11:45:52+05:30,Jio 4G,1,0,405,861,5661549952152342,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T12:46:29+05:30,Jio 4G,1,0,405,861,5661549955789244,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T13:03:28+05:30,Jio 4G,1,0,405,861,5661549956808568,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T13:10:59+05:30,Jio 4G,1,0,405,861,5661549957259532,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T17:20:25+05:30,Jio 4G,1,0,405,861,5661549972224841,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T17:21:43+05:30,Jio 4G,1,0,405,861,5661549972303113,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T17:29:21+05:30,Jio 4G,1,0,405,861,5661549972761491,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T17:42:09+05:30,Jio 4G,1,0,405,861,5661549973528949,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T18:12:24+05:30,Jio 4G,1,0,405,861,5661549975343731,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T18:24:40+05:30,Jio 4G,1,0,405,861,5661549976080411,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T19:00:03+05:30,Jio 4G,1,0,405,861,5661549978203141,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T19:06:59+05:30,Jio 4G,1,0,405,861,5661549978618973,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T19:07:12+05:30,Jio 4G,1,0,405,861,5661549978632569,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T19:17:27+05:30,Jio 4G,1,0,405,861,5661549979246808,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T19:17:40+05:30,Jio 4G,1,0,405,861,5661549979260058,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T19:28:04+05:30,Jio 4G,1,0,405,861,5661549979884007,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T19:29:37+05:30,Jio 4G,1,0,405,861,5661549979976957,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T19:44:53+05:30,Jio 4G,1,0,405,861,5661549980893815,405,861,Jio 4G,0,404,45,airtel
566,2019-02-12T20:07:21+05:30,Jio 4G,1,0,405,861,5661549982241457,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T13:01:28+05:30,Jio 4G,1,0,405,861,5661550043088417,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T14:45:03+05:30,Jio 4G,1,0,405,861,5661550049303825,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T14:47:41+05:30,Jio 4G,1,0,405,861,5661550049461342,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T14:49:26+05:30,Jio 4G,1,0,405,861,5661550049566377,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T14:51:35+05:30,Jio 4G,1,0,405,861,5661550049695667,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T14:52:51+05:30,Jio 4G,1,0,405,861,5661550049771804,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T14:53:47+05:30,Jio 4G,1,0,405,861,5661550049827225,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T14:58:08+05:30,Jio 4G,1,0,405,861,5661550050088778,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T15:16:55+05:30,Jio 4G,1,0,405,861,5661550051215094,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T15:17:31+05:30,Jio 4G,1,0,405,861,5661550051251739,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T15:18:20+05:30,Jio 4G,1,0,405,861,5661550051299938,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T15:19:05+05:30,Jio 4G,1,0,405,861,5661550051345454,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T15:21:26+05:30,Jio 4G,1,0,405,861,5661550051486702,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T15:24:44+05:30,Jio 4G,1,0,405,861,5661550051684039,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T15:25:53+05:30,Jio 4G,1,0,405,861,5661550051753568,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T15:26:57+05:30,Jio 4G,1,0,405,861,5661550051817854,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T15:27:12+05:30,Jio 4G,1,0,405,861,5661550051831876,405,861,Jio 4G,0,404,45,airtel
566,2019-02-13T15:27:53+05:30,Jio 4G,1,0,405,861,5661550051873799,405,861,Jio 4G,0,404,45,airtel
